,Heat Treatment Method,,,,,,Heat Treated Properties,,,,,,,,,Composition,,,,As Built Properties,,,,,,,,LPBF process  parameter,,,,,,,,,,,,,,,,,Mechanical Testing,,,,,
,solution temp,Sol time,ageing temp,ageing time,ageing temp,ageing time,UTS,YS,Elongation,strain hardening,hardness,modulus,Quality,Toughness,n,Si,Al,Mg,Fe,UTS,YS,Elongation,hardness,Modulus,Quality,Support Structure,BT,p/v,power,speed,Hatch ,thickness,Density,,,Direction,,Scanning,spot dia,exposure,pulsing,powder size,Powder mfg,Machine,Geometry,l/d,Strain rate,Estension rate,Density,machining  of sample
,Degrees,hrs,Degrees,hrs,Degrees,hrs,Mpa,Mpa,%,,HV,Gpa,,Mpa,,wt %,wt %,wt %,wt %,Mpa,Mpa,%,HV,Gpa,,,Degrees,,W,mm/s,mm,mm,J/mm3,,,,,,mm,micro sec,nano sec,micron,,,,,per sec,mm/min,%,
,300,2,,,,,330,243,6.2,,,,,,,10.08,,0.35,0.16,,,,,,,,,,195,800,0.17,0.03,,,,H,,,,,,,EOS,EOS M270,rectangular,,,2,99.2,
,300,2,,,,,329,231,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,0.1,,,,,,,,,,,
"Aboulkhair, 2016",520,1,160,6,,,292,239,4,,100,73,382.3089987,11.7,0.08,,,,,333,268,1.4,125,77,354.9192054,Y,,0.350877193,200,570,0.13,0.025,107.9622132,69.79574972,175.4385965,,,Checkboard/island,0.08,140,,,LPW technology,Renishaw AM 250,circular,45/9,0.00018,0.5,99.94,
,520,1,160,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
"Girelli, 2019",540,1,180,2,,,332,277,5.8,,,,446.514199,,,10.25,,0.396,0.212,452,264,8.6,,,592.1747677,,80,0.284615385,370,1300,0.1,0.03,94.87179487,36.23365813,94.87179487,H,,,0.1,,,,EOS,EOS M 290,circular,l/6,,1 & 2 (*1),,Y
,540,1,180,2,,,300,248,5.1,,,,406.1355264,,,10.25,,0.396,0.212,482,247,6.5,,,603.9370035,,80,0.284615385,370,1300,0.1,0.03,94.87179487,36.23365813,94.87179487,V,,,0.1,,,,EOS,EOS M 290,circular,l/6,,2 & 2 (*1),,Y
"Han, 2019",550,2,0,0,,,160,110,22,,51,,361.3634021,,,,,,,400,240,6.5,125,,521.9370035,,,0.4,200,500,0.13,0.025,123.0769231,,,H,F,"chessboard, 67, bi",,,140,43,Renishaw,Renishaw AM 250,rectangular,20/5 (l/w),,1,,N
"Wei, 2016",450,2,0,0,,,282,230,13.4,,95,,451.0657198,31.05,0.23,,,,,434,222,5.3,130,,542.6413804,,100,0.307017544,350,1140,0.17,0.05,,,,,,,0.08,,,,TLS technique,SLM 250 HL,rectangular,,,1,,
,450,2,180,12,,,199,160,22.5,,78,,401.8273777,37.92,0.07,,,,,,,,,,,,100,#DIV/0!,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,500,2,0,0,,,213,130,23.5,,88,,418.6601793,34.8,0.23,,,,,,,,,,,,100,0.307017544,350,1140,0.17,0.05,36.11971104,,,,,"chessboard, 67, bi",,,,20 to 63,TLS Technik GmbH & Co Ltd,,rectangular,,,,,
,500,2,180,12,,,197,155,22.2,,60,,398.9529462,33.55,0.05,,,,,,,,,,,,100,0.307017544,350,1140,0.17,0.05,36.11971104,,,,,"chessboard, 67, bi",,,,20 to 63,,,rectangular,,,,,
,550,2,0,0,,,152,110,23.7,,62,,358.2122519,28.8,0.17,,,,,,,,,,,,100,0.307017544,350,1140,0.17,0.05,36.11971104,,,,,"chessboard, 67, bi",,,,20 to 63,,,rectangular,,,,,
,550,2,180,12,,,187,140,19.5,,50,,380.5051917,27.84,0.1,,,,,,,,,,,,100,0.307017544,350,1140,0.17,0.05,36.11971104,,,,,"chessboard, 67, bi",,,,20 to 63,,,rectangular,,,,,
"Rosenthal, 2016",300,2,0,0,,,319,207,7,,107,71,445.764706,,,,,,,407,243,3.9,125,75,495.6596911,,,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,V,,"stripscanning, 67",0.1,,,25 to 50,,EOS M 280,circular,40/5,,,,Y
,540,2.5,0,0,,,158,99,17.3,,70,73,343.7069155,,,,,,,,,,,75,,,,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,V,,"stripscanning, 67",0.1,,,26 to 50,,,circular,40/5,,,,Y
,100,2,0,0,,,,,,,124,,,,,,,,,,,,,,,,,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,V,,"stripscanning, 67",0.1,,,27 to 50,,,circular,,,,,
,150,2,0,0,,,,,,,119,,,,,,,,,,,,,,,,,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,V,,"stripscanning, 67",0.1,,,28 to 50,,,circular,,,,,
,170,2,0,0,,,,,,,117,,,,,,,,,,,,,,,,,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,V,,"stripscanning, 67",0.1,,,29 to 50,,,circular,,,,,
,200,2,0,0,,,,,,,132,,,,,,,,,,,,,,,,,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,V,,"stripscanning, 67",0.1,,,30 to 50,,,circular,,,,,
,220,2,0,0,,,,,,,128,,,,,,,,,,,,,,,,,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,V,,"stripscanning, 67",0.1,,,31 to 50,,,circular,,,,,
,250,2,0,0,,,,,,,116,,,,,,,,,,,,,,,,,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,V,,"stripscanning, 67",0.1,,,32 to 50,,,circular,,,,,
,300,2,0,0,,,,,,,110,,,,,,,,,,,,,,,,,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,V,,"stripscanning, 67",0.1,,,33 to 50,,,circular,,,,,
,200,168,0,0,,,,,,,117,,,,,,,,,,,,,,,,,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,V,,"stripscanning, 67",0.1,,,34 to 50,,,circular,,,,,
,100,336,0,0,,,,,,,123,,,,,,,,,,,,,,,,,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,V,,"stripscanning, 67",0.1,,,35 to 50,,,circular,,,,,
"Zhou, 2018",520,0.5,0,0,,,,,,,74.3,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
,520,1,0,0,,,,,,,70.4,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
,520,2,0,0,,,,,,,80.5,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
,520,2,160,1,,,,,,,72.4,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
,520,2,160,3,,,,,,,85.9,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
,520,2,160,6,,,,,,,102,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
,520,2,160,8,,,,,,,102,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
,520,2,160,10,,,,,,,103.5,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
,520,2,160,12,,,,,,,102,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
,520,2,160,15,,,,,,,99.1,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
,520,2,160,24,,,,,,,99,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
,520,4,0,0,,,,,,,80.3,,,,,,,,,,,,,,,,,0.307692308,400,1300,0.19,0.03,53.98110661,39.1715223,102.5641026,V,,"stripscanning, 67",0.1,,,40,EOS,EOS M 280,,,,,,
"Sun, 2019",500,0.25,158,0.16,,,267,,9,,,,410.1363764,,,9.94,,0.27,0.15,312,,4,,,402.3089987,,,0.4,400,1000,0.165,0.025,96.96969697,50.92297899,160,V,,"stripscanning, 67",0.1,,,20 to 60,,Renishaw AM 250,rectangular,"28,5",,,,
,380,0.75,0,0,,,171,,12,,,,332.8771869,,,9.94,,0.27,0.15,,,,,,,,,0.4,400,1000,0.165,0.025,96.96969697,50.92297899,160,V,,"stripscanning, 67",0.1,,,20 to 60,,Renishaw AM 250,rectangular,"28,5",,,,
,500,0.25,158,0.16,,,162,,21,,,,360.3328942,,,9.94,,0.27,0.15,,,,,,,,,0.4,400,1000,0.165,0.025,96.96969697,50.92297899,160,V,,"stripscanning, 67",0.1,,,20 to 60,,Renishaw AM 250,rectangular,"28,5",,,,
,380,0.75,0,0,,,,,,,,,,,,9.94,,0.27,0.15,,,,,,,,,0.4,400,1000,0.165,0.025,96.96969697,50.92297899,160,V,,"stripscanning, 67",0.1,,,20 to 60,,Renishaw AM 250,rectangular,"28,5",,,,
"Tradowsky, 2016",520,5,160,12,,,315,268,2.5,,,,374.6910013,,,10.2,,0.3,0.15,375,230,4.8,,,477.1861856,,,0.170731707,175,1025,0.0975,0.03,58.36981447,60.37616073,94.85094851,H,,"chessboard, 90, uni",0.06,,,25 to 50,TLS Technik,Concept laser M2,circular,"25,5",,,,N
,,,,,,,,,,,,,,,,10.2,,0.3,0.15,275,215,1.3,,,292.0915028,,,0.170731707,175,1025,0.0975,0.03,58.36981447,60.37616073,94.85094851,V,,"chessboard, 90, uni",0.06,,,25 to 50,TLS Technik,Concept laser M3,circular,"25,6",,,,N
"RMIT, 2019",200,1,0,0,,,380,240,2.6,,108,,442.2460022,,,10.2,,0.34,0.19,400,280,2,112,,445.1544993,,150,0.304347826,350,1150,0.19,0.05,32.03661327,,,V,,,,,,,,SLM 500 HL,circular,,,,,Y
,200,10,0,0,,,,,,,107,,,,,,,,,,,,,,,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,
,300,1,0,0,,,310,200,5.1,,,,416.1355264,,,,,,,,,,,,,,150,0.304347826,350,1150,,,#DIV/0!,,,V,,,,,,,,,,,,,,
,300,2,0,0,,,,,,,100,,,,,,,,,,,,,,,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,
,300,10,0,0,,,,,,,92,,,,,,,,,,,,,,,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,
,400,1,0,0,,,245,135,9.2,,,,389.5681741,,,,,,,,,,,,,,120,0.304347826,350,1150,,,#DIV/0!,,,V,,,,,,,,,,,,,,
,400,10,0,0,,,,,,,86,,,,,,,,,,,,,,,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,
,500,1,0,0,,,230,135,9.5,,,,376.6585408,,,,,,,,,,,,,,120,0.304347826,350,1150,,,#DIV/0!,,,V,,,,,,,,,,,,,,
,500,10,0,0,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
"RMIT, 2019",,,,,,,,,,,,,,,,,,,,355,203,3.5,,,,,150,0.304347826,350,1150,0.19,0.05,32.03661327,,,V,,,,,,,,SLM 500 HL,,,,,,
,,,,,,,,,,,,,,,,,,,,355,195,3.6,,,,,150,0.304347826,350,1150,0.19,0.05,32.03661327,,,V,,,,,,,,SLM 500 HL,,,,,,
,,,,,,,,,,,,,,,,,,,,348,205,6.4,,,,,150,0.304347826,350,1150,0.19,0.05,32.03661327,,,H,,,,,,,,,,,,,,
"Biffi, 2019",320,2,0,0,,,233,142,13.4,,,,402.0657198,,,,,,,440,290,5.6,,,552.2282041,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,,,,0.08,,,20 to 63,,SLM 500 HL,,,,,,
"Girelli, 2017",510,6,0,0,,,,,,,,,,,,10.25,,0.396,0.212,,,,125 (HB),,,,80,0.284615385,370,1300,0.1,0.03,94.87179487,,,,,,,,,,EOS,EOS M 290,,,,,,
,510,6,160,1,,,,,,,108,,,,,10.25,,0.396,0.212,,,,,,,,,0.284615385,370,1300,0.1,0.03,94.87179487,,,,,,,,,,EOS,EOS M 290,,,,,,
,510,6,170,1,,,,,,,105,,,,,10.25,,0.396,0.212,,,,,,,,,0.284615385,370,1300,0.1,0.03,94.87179487,,,,,,,,,,EOS,EOS M 290,,,,,,
,540,6,0,0,,,,,,,70,,,,,10.25,,0.396,0.212,,,,,,,,,0.284615385,370,1300,0.1,0.03,94.87179487,,,,,,,,,,EOS,EOS M 290,,,,,,
,540,6,160,1,,,,,,,105,,,,,10.25,,0.396,0.212,,,,,,,,,0.284615385,370,1300,0.1,0.03,94.87179487,,,,,,,,,,EOS,EOS M 290,,,,,,
,540,6,170,1,,,,,,,105,,,,,10.25,,0.396,0.212,,,,,,,,,0.284615385,370,1300,0.1,0.03,94.87179487,,,,,,,,,,EOS,EOS M 290,,,,,,
"Ozer, 2019",300,2,0,0,,,322,235,4.9,,102,,425.529412,,,9.8,,0.36,0.14,381,326,3.2,118,,456.7724967,,,0.284615385,370,1300,0.19,0.03,49.93252362,,,,,,,,,47,,EOS M 290,,,,,,
,540,2,160,12,,,283,229,5.6,,98,,395.2282041,,,9.8,,0.36,0.14,,,,,,,,,0.284615385,370,1300,0.2,0.03,47.43589744,,,,,,,,,47,,EOS M 290,,,,,,
"Uzan, 2017",300,2,0,0,,,253,205,18,,,,441.2908758,,,,,,,384,241,6,,,500.7226876,,20,0.4,400,1000,,,#DIV/0!,,,,,"biaxial, 8 mm width",,,,30,,EOS M 280,circular,"35.8, 6.35",,1,98.5,
"Larrosa, 2018",520,5,160,12,,,270,230,1.5,,,,296.4136889,,,10.2,,0.3,0.15,370,250,1,,,370,,,0.170731707,175,1025,0.0975,0.03,58.36981447,60.37616073,94.85094851,V,,"chessboard, 90, bi",0.06,,,25 to 50,TLS Technik,Concept laser M2,circular,,,,,Y
,520,5,160,12,,,270,225,1.7,,,,304.5673382,,,10.2,,0.3,0.15,400,275,1.6,,,430.6179974,,,0.170731707,175,1025,0.0975,0.03,58.36981447,60.37616073,94.85094851,H,,"chessboard, 90, bi",0.06,,,25 to 50,TLS Technik,Concept laser M2,circular,,,,,Y
"Bagherifard, 2018",560,1,160,6,,,265,201,13,,88,73,432.0915028,,,9.8,,0.44,0.24,410,273,2.6,,,472.2460022,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,V,,"chessboard, 67, bi",0.08,,,50,SLM,SLM 500 HL,rectangular,32/7,,0.7 and 2,,
"Casati, 2018",,,,,,,,,,,,,,,,,,,,386,248,8.6,,,526.1747677,,160,0.261538462,340,1300,0.2,0.03,43.58974359,,,H,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,99.4,Y
,,,,,,,,,,,,,,,,,,,,412,228,7,,,538.764706,,160,0.261538462,340,1300,0.2,0.03,43.58974359,,,V,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,99.4,Y
,540,1,160,4,,,323,243,15.3,,,,500.7037146,,,,,,,,,,,,,,30,0.261538462,340,1300,0.2,0.03,43.58974359,,,H,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,,Y
,540,1,160,4,,,302,223,16,,,,482.6179974,,,,,,,,,,,,,,30,0.261538462,340,1300,0.2,0.03,43.58974359,,,V,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,,Y
,0,0,160,4,,,471,321,8.6,,,,611.1747677,,,,,,,,,,,,,,30,0.261538462,340,1300,0.2,0.03,43.58974359,,,H,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,,Y
,0,0,160,4,,,493,292,6,,,,609.7226876,,,,,,,,,,,,,,30,0.261538462,340,1300,0.2,0.03,43.58974359,,,V,,"stripscanning, 67",,,,,,EOS M 290,circular,"30,6",,0.5,,Y
"Colombo, 2019",244,3,0,0,,,344,232,4.2,,,,437.4873936,,,,,,,414,287,5.6,,,526.2282041,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,H,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
"Colombo, 2019",244,3,0,0,,,352,204,4.7,,,,452.8146787,,,,,,,419,270,4.1,,,510.9175785,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,V,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
,290,1.25,0,0,,,315,207,6.3,,,,434.9010824,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,H,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
,290,1.25,0,0,,,347,189,5.6,,,,459.2282041,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,V,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
"Colombo, 2020",170,1.5,0,0,,,437,310,5.4,,,,546.859064,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,,,H,,,0.08,,,,SLM,SLM 500 HL,rectangular,,0.015/min,,,N
,170,1.5,0,0,,,403,276,3.5,,,,484.6102067,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,,,V,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
,320,2,0,0,,,233,146.5,13.3,,,,401.5777461,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,,,H,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
,320,2,0,0,,,233,146.5,13.3,,,,,,,,,,,,,,,,,,150,0.304347826,350,1150,0.17,0.05,35.8056266,,,V,,,0.08,,,,SLM,SLM 500 HL,rectangular,,,,,N
"Fiocchi, 2016",265,0.5,,,,,,,,,101,,,,,10,,0.4,0.2,,,,114,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
,265,2,,,,,,,,,103,,,,,10,,0.4,0.2,,,,,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
,295,0.5,,,,,,,,,95,,,,,10,,0.4,0.2,,,,,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
,295,2,,,,,,,,,85,,,,,10,,0.4,0.2,,,,,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
,320,0.5,0,0,,,,,,,86,,,,,10,,0.4,0.2,,,,,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
,320,2,0,0,,,,,,,74,,,,,10,,0.4,0.2,,,,,,,,25,#DIV/0!,300,,0.14,0.025,#DIV/0!,,,,,,0.13,120,,20 to 63 (45),,Renishaw AM 250,,,,,,
"Heilgeist, 2019",0,0,160,8,,,,,,,81,,,,,,,,,,,,81,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,45,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,0,0,160,8,,,,,,,80,,,,,,,,,,,,80,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,60,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,0,0,160,8,,,,,,,78,,,,,,,,,,,,78,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,0,0,160,8,,,,,,,75,,,,,,,,,,,,75,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,80,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,0,0,160,8,,,,,,,73,,,,,,,,,,,,73,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,90,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,8,165,10,,,,,,,46,,,,,,,,,,,,88,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,45,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,8,165,10,,,,,,,48,,,,,,,,,,,,78,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,60,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,8,165,10,,,,,,,54,,,,,,,,,,,,76,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,8,165,10,,,,,,,60,,,,,,,,,,,,74,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,80,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,8,165,10,,,,,,,64,,,,,,,,,,,,74,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,90,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,2,0,0,,,200,110,11,,,,356.2089028,,,,,,,360,235,2.7,76,,424.7045646,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,2,160,2,,,225,150,9,,,,368.1363764,,,,,,,,,,,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,2,160,4,,,280,210,6,,,,396.7226876,,,,,,,,,,,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,2,160,8,,,300,260,4,,,,390.3089987,,,,,,,,,,,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
"Iturrioz, 2018",300,2,0,0,,,220,180,17,,81,,404.5673382,,,9.94,,0.38,0.16,382,250,2,127,,427.1544993,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,20 to 63,,SLM 280 HL,circular,,,,,
,450,2,180,12,,,219,185,11,,81,,375.2089028,,,9.94,,0.38,0.16,,,,,,,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,20 to 63,,SLM 280 HL,circular,,,,,
,550,2,180,12,,,307,260,9,,101,,450.1363764,,,9.94,,0.38,0.16,,,,,,,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,20 to 63,,SLM 280 HL,circular,,,,,
,450,2,0,0,,,189,120,14,,88,,360.9192054,,,9.94,,0.38,0.16,,,,,,,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,20 to 63,,SLM 280 HL,circular,,,,,
