,Heat Treatment Method,,,,,,Heat Treated Properties,,,,,,,,,Composition,,,,As Built Properties,,,,,,,,LPBF process  parameter,,,,,,,,,,,,,,,,,Mechanical Testing,,,,,
"Wu, 2021",,,,,,,,,,,,,,,,,,,,458,293,7.7,,,,,,,,,0.12,0.05,#DIV/0!,,,,,,,,,27,,"FS 271 M, Farsoon Inc",rectangular,2 thick,0.001,,,
"Patakham, 2021",,,,,,,,,,,,,,,,,,,,379,231,4.51,,,,,,,,,,,#DIV/0!,,,H,,,,,,,,EOS M290,rectangular,5 thick,,1,,
,,,,,,,,,,,,,,,,,,,,413,213,4.37,,,,,,,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,
,270,1.5,,,,,343,217,5.65,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,H,,,,,,,,,,,,,,
,270,1.5,,,,,378,215,4.21,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,
"Cerri, 2021",,,,,,,,,,,,,,,,9.6,,0.38,0.1,367,225,7.3,,,,,150,,350,1500,0.17,0.05,27.45098039,,,H,,,,,,,,SLM 500 HL,circular,"30,6",,,,
,175,6,,,,,396,232,7.6,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,200,6,,,,,350,199,9.2,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,225,6,,,,,331,184,15.2,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
"Kempf, 2021",300,0.5,,,,,301,168,6.5,,,,,,,10.57,,0.34,0.12,415,257,3,128,,,,150,,700,2260,0.17,0.05,36.4393545,,,V,,"stripes, 67",,,,38,,SLM 280 HL,circular,"40,6",,,,Y
,300,2,,,,,263,143,11.1,,77,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,525,2,160,8,,,315,249,7.9,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,300,2,,,,,272,162,12.4,,79,,,,,10.23,,0.32,0.12,484,292,4.8,133,,,,150,,350,1650,0.13,0.03,54.39005439,,,V,,"stripes, 67",,,,38,,SLM 500,circular,"40,6",,,,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,300,2,,,,,265,142,5.3,,79,,,,,10.34,,0.37,0.18,346,228,1.7,106,,,,200,,950,2450,0.18,0.06,35.90325019,,,V,,"stripes, 90",,,,56,,Concept laser Xline 2000 R,circular,"40,6",,,,Y
"Ou, 2021",,,,,,,,,,,,,,,,9.94,,0.29,0.088,494,309,6.5,,,,,,,100,250,0.1,0.03,133.3333333,,,H,,"stripes, 90",,,,,Shanghai Electric Group Co. Ltd,BLT S-200,circular,"22,4",,1,,Y
,,,,,,,,,,,,,,,,,,,,467,259,6,,,,,,,100,250,0.1,0.03,133.3333333,,,V,,"stripes, 90",,,,,,,circular,"22,5",,1,,Y
,,,,,,,,,,,,,,,,,,,,455,280,8.1,,,,,,,100,250,0.1,0.03,133.3333333,,,H,,"stripes, 67",,,,,,,circular,"22,6",,1,,Y
,,,,,,,,,,,,,,,,,,,,474,262,6.5,,,,,,,100,250,0.1,0.03,133.3333333,,,V,,"stripes, 67",,,,,,,circular,"22,7",,1,,Y
"Park, 2021",180,6,,,,,451,310,6.2,,,,,,,9.57,,0.31,0.17,448,263,9.8,,,,,,,250,1300,0.13,0.03,49.30966469,,,,,,0.07,,,40,SLM,SLM 125 HL,rectangular,1 mm thick,0.001,,,
,520,2,180,6,,,241.7,180.3,9.6,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,rectangular,,,,,
"Paul, 2021",,,,,,,,,,,,,,,,,,,,469.4,313.8,5.6,,,,,,,,,0.1,0.03,#DIV/0!,,,H,,"stripes, 67",,,,,,,rectangular,2 mm,,1,99.5,
,,,,,,,,,,,,,,,,,,,,437,278,3.4,,,,,,,,,0.1,0.03,#DIV/0!,,,V,,,,,,,,,rectangular,3 mm,,1,,
"Zhang, 2021",,,,,,,,,,,,,,,,10.1,,0.3,0.11,360,200,11.7,141,,,,150,,320,900,0.08,0.03,148.1481481,,,H,,"chessboard, 67",,,,,,SLM 280 HL,rectangular,5 mm,,0.5,,
"Wang, 2021",,,,,,,,,,,,,,,,9.92,,0.3,0.137,445,293,7.5,,,,Y,20,,275,2000,0.08,0.03,57.29166667,,,H,,"chessboard, 67",0.07,,,,Toyo Aluminum K.K.,Renishaw AM 400,circular,,,0.5,99.7,Y
,,,,,,,,,,,,,,,,10.2,,0.43,0.11,461,296,11.5,,,,Y,20,,300,1270,0.08,0.045,65.6167979,,,H,,"chessboard, 67",0.07,,,,,,circular,,,0.5,99.78,Y
"Egidio, 2022",160,4,0,0,,,452,256,4.3,,141,,,,,9.6,,0.28,0.12,447,250,4.1,136,,,N,150,,350,1150,0.17,0.05,35.8056266,,,V,,"bi-stripes, 67",0.08,,,,,SLM 500 HL,circular,,0.0033,,,Y
,540,1,160,4,,,308,221,11.8,,109,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,510,10 min,160,6,,,319,251,12.6,,112,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
"Riener, 2021",,,,,,,,,,,,,,,,10.3,,0.31,0.11,,,,,,,,200,,360,1350,0.105,0.05,50.79365079,,,V,,"stripes, 67",,,,,IMR Metal Powder Technologies,Aconi-tyMIDI,circular,,0.001,,99.81,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,400,1350,0.105,0.05,56.43738977,,,V,,"stripes, 67",,,,,,,circular,,0.001,,99.91,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,440,1350,0.105,0.05,62.08112875,,,V,,"stripes, 67",,,,,,,circular,,0.001,,99.905,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,400,1230,0.105,0.05,61.94347658,,,V,,"stripes, 67",,,,,,,circular,,0.001,,99.86,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,400,1500,0.105,0.05,50.79365079,,,V,,"stripes, 67",,,,,,,circular,,0.001,,99.92,Y
"Rabori, 2021",,,,,,,,,,,,,,,,,,,,445,293,7.5,,,,Y,20,,275,2000,0.08,0.03,57.29166667,,,H,,"stripes, 67",0.07,,,31,Toyo Aluminium K.K.,Renishaw AM 400,Rectangular,,,0.5,,Y
,,,,,,,,,,,,,,,,,,,,461,296,11.5,,,,Y,20,,300,1270,0.08,0.045,65.6167979,,,H,,"stripes, 67",0.07,,,54,,,Rectangular,,,0.5,,Y
,,,,,,,,,,,,,,,,,,,,441,300,7.5,,,,Y,20,,260,933,0.08,0.045,77.40859831,72.4018119,88.4669695,H,,"stripes, 67",0.07,,,54,,,Rectangular,,,0.5,,Y
,,,,,,,,,,,,,,,,,,,,399,260,6.5,,,,Y,20,,260,933,0.04,0.045,154.8171966,,,H,,"stripes, 67",0.07,,,54,,,Rectangular,,,0.5,,Y
,,,,,,,,,,,,,,,,,,,,431,292,7.3,,,,Y,20,,260,1272,0.08,0.045,56.77847659,,,H,,"stripes, 67",0.07,,,54,,,Rectangular,,,0.5,,Y
"Luo, 2021",,,,,,,,,,,,,,,,10.13,,0.1,0.07,439,270,7.5,,,,,,,160,800,0.07,0.02,142.8571429,,,,,,0.07,,,,SLM,NCL-M2120,,,,1,,
"Kumar, 2021",,,,,,,,,,,,,,,,,,,,383,247,9.8,,,,,,,370,1300,0.19,0.03,49.93252362,,,H,,,,,,,,EOS M 280,,,,,,
,,,,,,,,,,,,,,,,,,,,421,239,5.2,,,,,,,370,1300,0.19,0.03,49.93252362,,,V,,,,,,,,,,,,,,
"Yang, 2020",,,,,,,,,,,,,,,,10.07,,0.54,0.09,460,330,7.5,,,,N,20,,240,1800,0.04,,#DIV/0!,67.89730533,,H,,"stripes, 90",0.05,,,,concept laser,concept laser M2,rectangular,2 mm,,,,
,,,,,,,,,,,,,,,,10.07,,0.54,0.09,475,320,8.4,,,,N,20,,360,1800,0.06,,#DIV/0!,101.845958,,H,,"stripes, 90",0.05,,,,concept laser,concept laser M3,rectangular,,,,,
"Matjeke, 2020",300,2,,,,,324,209,5.9,,86.7,,,,,9.8,,0.6,,,,,,,,,180,,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,
,300,4,,,,,252,164,9.8,,71.8,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,
"Ghoncheh, 2020",,,,,,,,,,,,,,,,,,,,392,210,5.6,,,,,200,,370,1300,0.19,0.03,49.93252362,,,V,,"stripe, 67",0.1,,,,EOS,EOS M290,circular,"30,6",,1.3,,Y
"Mara, 2021",510,6,170,4,,,319,281,2.6,,,,,,,9.8,,0.32,0.11,375,241,10,,,,Y,,,,,,,#DIV/0!,,,V,,,,,,,,concept laser M1,circular,,,,,
,160,4,,,,,393,253,0.2,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,470,1,110,5,150,14,273,211,4,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
"Subramaniyan, 2021",510,6,160,12,,,275,210,6.3,,,,,,,,,,,375,250,3.2,,,,,,,370,1150,0.18,0.06,29.79066023,,,V,,,0.08,,,30,,EOS M280,,,0.006,,99.9,
,160,12,,,,,300,270,3.1,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
"Ghio, 2021",200,4,,,,,411,237,6.9,,,,,,,10,,0.31,0.12,438,284,6.9,,,,N,150,,370,1400,0.07,0.09,41.95011338,,,H,,,,,,,,SLM 280,circular,,0.008,,,Y
,505,4,175,4,,,280,230,9.5,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
"Pieklo, 2021",240,6,,,,,270,160,7.15,,,,,,,10.2,,0.35,0.21,,,,,,,,,,950,2400,0.17,0.05,46.56862745,,,,,"meander, 67",0.2,,,63,AP&C-a GE Additive Company,concept laser X line 2000R,,,,,,
"Ansari, 2021",,,,,,,,,,,,,,,,10.3,,0.38,0.13,455,305,9.6,,,,,,,140,600,0.112,0.04,52.08333333,118.8202843,116.6666667,,,,0.05,,,40,concept laser,concept laser M2 cusing,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,395,240,4.8,,,,,,,400,600,0.112,0.04,148.8095238,,,,,,0.14,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,250,215,2.3,,,,,,,140,600,0.112,0.04,52.08333333,,,,,,0.25,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,445,300,10,,,,,,,300,600,0.112,0.04,111.6071429,32.47638966,89.28571429,,,,0.14,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,460,300,9.8,,,,,,,225,600,0.112,0.04,83.70535714,24.35729225,66.96428571,,,,0.14,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,475,302,9.9,,,,,,,275,1100,0.112,0.04,55.80357143,16.23819483,44.64285714,,,,0.14,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,450,325,6.2,,,,,,,350,1400,0.112,0.04,55.80357143,16.23819483,44.64285714,,,,0.14,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,380,295,4.7,,,,,,,140,600,0.112,0.04,52.08333333,,,,,,0.125,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,380,320,3,,,,,,,140,800,0.112,0.04,39.0625,34.81063017,54.6875,,,,0.08,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,395,325,2.8,,,,,,,140,1100,0.112,0.04,28.40909091,16.20276604,31.81818182,,,,0.1,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,330,300,2.4,,,,,,,140,1400,0.112,0.04,22.32142857,35.36317986,41.66666667,,,,0.06,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,395,280,5,,,,,,,350,800,0.112,0.04,97.65625,,,,,,0.14,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,390,295,5,,,,,,,140,600,0.112,0.04,52.08333333,,,,,,0.075,,,,,,circular,,,,,Y
,,,,,,,,,,,,,,,,,,,,410,305,5,,,,,,,200,800,0.112,0.04,55.80357143,16.23819483,44.64285714,,,,0.14,,,,,,circular,,,,,Y
"Xiao, 2021",,,,,,,,,,,,,,,,10.15,,0.35,0.16,444,341,2.55,,,,,,,220,1100,0.08,0.03,83.33333333,,,H,,"stripes, 90",,,,,Avimetal AM Co ltd,DiMetal 100,rectangular,2 mm,,0.2,,
"Liu, 2020",,,,,,,,,,,,,,,,9.9,,0.38,0.13,388,229,6.3,137.3,,,,200,,264,2320,0.1,0.03,37.93103448,,,H,,"stripes, 90",,,,,LPW technology,SLM 125 HL,rectangular,2 mm,,1,,
,,,,,,,,,,,,,,,,,,,,359,184,10.3,124.1,,,,200,,300,1960,0.1,0.03,51.02040816,,,H,,"stripes, 90",,,,,,,rectangular,2 mm,,1,,
,,,,,,,,,,,,,,,,,,,,297,144,9.5,118.4,,,,200,,355,1690,0.1,0.03,70.01972387,,,H,,"stripes, 90",,,,,,,rectangular,2 mm,,1,,
,,,,,,,,,,,,,,,,,,,,386,208,8.6,130.6,,,,200,,200,1307,0.1,0.03,51.00739607,,,H,,"stripes, 90",,,,,,,rectangular,2 mm,,1,,
,,,,,,,,,,,,,,,,,,,,364,190,8.3,127.1,,,,200,,355,2320,0.1,0.03,51.00574713,,,H,,"stripes, 90",,,,,,,rectangular,2 mm,,1,,
"Barile, 2020",300,2,,,,,218,137,14.5,,,,,,,,,,,,,,,,,,,,,100,,0.02,#DIV/0!,,,H,,,0.2,,,,,,rectangular,,,,,
,300,2,,,,,215,128,8.7,,,,,,,,,,,,,,,,,,,,,100,,0.02,#DIV/0!,,,45,,,0.2,,,,,,rectangular,,,,,
"Wang, 2020",,,,,,,,,,,,,,,,,,,,480,280,4.2,,,,,,,250,400,0.045,0.025,555.5555556,,,V,,,,,,50,,HANS-SM160,rectangular,3 mm,,,,
"Hirata, 2020",,,,,,,,,,,,,,,,10,,0.4,,480,250,5.1,,,,N,35,,300,1200,0.15,0.03,55.55555556,,,V,,"stripes, 67",0.1,,,25,,EOS M280,circular,"18, 3.5",,1,99.96,Y
"Hadadzadeh, 2020",,,,,,,,,,,,,,,,10.8,,0.35,0.55,395,205,5.6,,,,,200,,370,1300,0.19,0.03,49.93252362,,,V,,,0.1,,,,EOS,EOS M 290,circular,"30,6",0.0009,,,Y
"Gu, 2019",,,,,,,,,,,,,,,,10.76,,0.3,,350,225,5.5,,,,,,,350,2000,0.05,0.05,70,,,,,"island, 37",0.07,,,,,NUAA,rectangular,5 mm,,0.2,,
"Hammond, 2019",,,,,,,,,,,,,,,,9.69,,0.29,0.14,448,296,5.4,,,,,200,,350,930,,0.05,#DIV/0!,,,H,,chessboard,,,,,SLM,SLM 280 HL,circular,,,,,Y
,,,,,,,,,,,,,,,,9.69,,0.29,0.14,450,276,3.3,,,,,200,,350,930,,0.05,#DIV/0!,,,V,,chessboard,,,,,SLM,SLM 280 HL,circular,,,,,Y
"Irmak, 2019",,,,,,,,,,,,,,,,,,,,330,220,2.5,,,,,200,,350,930,0.19,,#DIV/0!,,,H,,"stripes, 79",,,,,,SLM 250 HL,rectangular,3 mm,0.001,,,
,,,,,,,,,,,,,,,,,,,,280,150,4,,,,,200,,350,930,0.19,,#DIV/0!,,,V,,"stripes, 79",,,,,,SLM 250 HL,rectangular,3 mm,0.001,,,
"Zhou, 2018",,,,,,,,,,,,,,,,,,,,468,270,9.5,121,,,,,,320,1400,0.1,0.03,76.19047619,,,H,,chessboard,,,,42,AMC powders,concept laser M2,,,,1,,
"Dong, 2018",,,,,,,,,,,,,,,,10.1,,0.45,0.4,350,224,5.37,,,,,35,,370,1500,0.19,0.03,43.2748538,,,V,,67,0.1,,,35,,concept X-line 1000R,circular,5 dia,,1,99.9,N
"Del Re, 2018",300,2,,,,,305,215,18,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,EOS M280,,,,,,
"Yachao Wang, 2018",,,,,,,,,,,,,,,,,,0.33,0.55,335,235,2.9,,,,,20,,370,1300,0.19,0.03,49.93252362,,,H,,,,,,,,EOS 280,rectangular,1.7 mm,,1,,
"Zhao, 2019",,,,,,,,,,,,,,,,,,,,340,220,6,120,,,,180,,300,1200,0.13,0.03,64.1025641,,,,,chessboard 67,,140,,,,Renishaw AM 400,rectangular,2 mm,0.005,,,
"Gao, 2020",,,,,,,,,,,,,,,,,,,,359,264,3.9,134.6,,,,,,200,1200,0.09,0.03,61.72839506,,,,,"stripe, 15",,,,25,MTI Co Ltd,SLM 280 HL,rectangular,2.5 mm,,1,99.1,
"Li, 2020",,,,,,,,,,,,,,,,,,,,345,140,3.3,117,,,,,,400,2000,,0.05,#DIV/0!,,,,,"island, 37",0.07,,,,,SLM-150 Nanjing university,,,,0.2,,
"Miao, 2021",,,,,,,,,,,,,,,,,,,,432,265,5.12,128,75,,,150,,200,500,0.05,0.03,266.6666667,,,,,chessboard 67,0.06,,,,Avic mite powder metallurgy,SLM-100 C Guangdong hanbang,rectangular,2 mm,,,99.9,
"Tan, 2021",,,,,,,,,,,,,,,,10,,0.35,0.11,430,240,3.7,,,,,200,,300,1650,0.13,0.03,46.62004662,,,V,,67,,,,,LPW technology,SLM 125 HL,rectangular,2 mm,,1,99,
"Cheng, 2022",,,,,,,,,,,,,,,,,,,,393,224,4.5,127.8,,,,20,,270,1600,0.11,0.03,51.13636364,,,V,,"stripes, 67",,,,33.87,,EOS M 280,rectangular,2 mm,,1,98.22,
"Santos, 2020",,,,,,,,,,,,,,,,9.7,,0.4,0.15,360,203,9.6,,,,,200,,,,,,#DIV/0!,,,H,,,,,,,,EOS M290,circular,"22,4",,,,Y
,,,,,,,,,,,,,,,,,,,,515,286,9.7,,,,,20,,,,,,#DIV/0!,,,H,,,,,,,,EOS M291,circular,"22,4",,,,
"Kempf, 2020",300,0.5,,,,,304,182,10.6,,88,,,,,10.02,,0.34,0.09,459,288,3.6,132,,,,150,,350,1650,0.13,0.03,54.39005439,,,V,,stripes 67,,,,,,SLM 280 HL,circular,"40,6",0.006,,99.2,Y
,300,0.5,,,,,295,173,5.6,,86,,,,,10.02,,0.34,0.09,394,268,3.2,128,,,,150,,700,2260,0.17,0.05,36.4393545,,,V,,stripes 67,,,,,,SLM 280 HL,circular,"40,6",0.006,,98.8,Y
,300,0.5,,,,,305,169,10.1,,85,,,,,10.06,,0.37,0.13,445,267,3.2,128,,,,150,,350,1150,0.17,0.05,35.8056266,,,V,,stripes 90,,,,,,SLM 280 HL,circular,"40,6",0.006,,99.4,Y
,300,0.5,,,,,311,187,11.7,,88,,,,,9.95,,0.36,0.09,492,292,5.6,136,,,,150,,350,1650,0.13,0.03,54.39005439,,,V,,stripes 67,,,,,,SLM 500 HL,circular,"40,6",0.006,,99.8,Y
,300,0.5,,,,,313,188,9.9,,86,,,,,9.8,,0.38,0.1,460,286,4.8,134,,,,100,,370,1300,0.19,0.03,49.93252362,,,V,,stripes 60,,,,,,EOS M290,circular,"40,6",0.006,,99.9,Y
,300,0.5,,,,,299,185,6.9,,85,,,,,9.98,,0.32,0.11,427,221,4.9,123,,,,20,,370,1400,0.112,0.05,47.19387755,,,V,,island 90,,,,,,Concept laser M2,circular,"40,6",0.006,,99.5,Y
,,,,,,,308,160,3.3,,86,,,,,9.82,,0.37,0.42,324,180,1.9,97,,,,200,,950,2450,0.18,0.06,35.90325019,,,V,,stripes 67,,,,,,Cencept laser Xline 2000R,circular,"40,6",0.006,,99.6,Y
"Chen, 2022",200,2,,,,,482,281,4.9,,,,,,,9.4,,0.27,0.3,514,300,5.1,,,,,200,,,1650,0.13,0.03,0,,,V,,zigzag 67,,,,32,SLM solutions,SLM 125 HL,rectangular,"8,1",,,99.6,
,200,2,,,,,444,301,6.7,,,,,,,9.4,,0.27,0.3,458,260,6.5,,,,,200,,,1650,0.13,0.03,0,,,H,,zigzag 67,,,,32,SLM solutions,SLM 125 HL,rectangular,"8,1",,,99.6,
,240,2,,,,,440,266,5,,,,,,,9.4,,0.27,0.3,,,,,,,,200,,,1650,0.13,0.03,0,,,V,,zigzag 67,,,,32,SLM solutions,SLM 125 HL,rectangular,"8,1",,,99.6,
,240,2,,,,,405,258,6.6,,,,,,,9.4,,0.27,0.3,,,,,,,,200,,,1650,0.13,0.03,0,,,H,,zigzag 67,,,,32,SLM solutions,SLM 125 HL,rectangular,"8,1",,,99.6,
,280,2,,,,,367,234,8.2,,,,,,,9.4,,0.27,0.3,,,,,,,,200,,,1650,0.13,0.03,0,,,V,,zigzag 67,,,,32,SLM solutions,SLM 125 HL,rectangular,"8,1",,,99.6,
,280,2,,,,,347,226,9.4,,,,,,,9.4,,0.27,0.3,,,,,,,,200,,,1650,0.13,0.03,0,,,H,,zigzag 67,,,,32,SLM solutions,SLM 125 HL,rectangular,"8,1",,,99.6,
,300,2,,,,,306,190,12.6,,,,,,,9.4,,0.27,0.3,,,,,,,,200,,,1650,0.13,0.03,0,,,V,,zigzag 67,,,,32,SLM solutions,SLM 125 HL,rectangular,"8,1",,,99.6,
,300,2,,,,,293,183,14.4,,,,,,,9.4,,0.27,0.3,,,,,,,,200,,,1650,0.13,0.03,0,,,H,,zigzag 67,,,,32,SLM solutions,SLM 125 HL,rectangular,"8,1",,,99.6,
,520,2,,,,,294,156,18.2,,,,,,,9.4,,0.27,0.3,,,,,,,,200,,,1650,0.13,0.03,0,,,V,,zigzag 67,,,,32,SLM solutions,SLM 125 HL,rectangular,"8,1",,,99.6,
,520,2,,,,,285,161,16,,,,,,,9.4,,0.27,0.3,,,,,,,,200,,,1650,0.13,0.03,0,,,H,,zigzag 67,,,,32,SLM solutions,SLM 125 HL,rectangular,"8,1",,,99.6,
"Wang, 2023",,,,,,,,,,,,,,,,10.2,,0.43,0.11,461,296,11.5,,,,Y,20,,300,1270,0.08,0.045,65.6167979,,,H,,island 67,0.07,55,,54.7,,Renishaw AM 400,rectangular,"32,6",,0.5,99.8,Y
,,,,,,,,,,,,,,,,10.2,,0.43,0.11,441,300,7.5,,,,Y,20,,260,933,0.07,0.045,88.4669695,,,H,,island 67,,75,,54.7,,Renishaw AM 400,rectangular,"32,6",,0.5,99.8,Y
"Tang, 2023",160,3,,,,,458.2,287.6,4.7,,,,,,,10.2,,0.31,0.06,455.7,277.2,6.2,,,,N,20,,370,1300,0.189,0.03,50.19671686,,,V,,,,,,,"BaohangCo.,Ltd.",JHL 500,circular,"30,5",0.01,,,
,160,3,,,,,461.2,313.3,8,,,,,,,10.2,,0.31,0.06,456.3,293.5,10.2,,,,N,20,,370,1300,0.189,0.03,50.19671686,,,H,,,,,,,"BaohangCo.,Ltd.",JHL 500,circular,"30,5",0.01,,,
,160,4,,,,,464.9,286.4,5.1,,,,,,,10.2,,0.31,0.06,,,,,,,N,20,,370,1300,0.189,0.03,50.19671686,,,V,,,,,,,"BaohangCo.,Ltd.",JHL 500,circular,"30,5",0.01,,,
,160,4,,,,,464.4,309.5,8,,,,,,,10.2,,0.31,0.06,,,,,,,N,20,,370,1300,0.189,0.03,50.19671686,,,H,,,,,,,"BaohangCo.,Ltd.",JHL 500,circular,"30,5",0.01,,,
,200,1,,,,,441.4,285.1,4.2,,,,,,,10.2,,0.31,0.06,,,,,,,N,20,,370,1300,0.189,0.03,50.19671686,,,V,,,,,,,"BaohangCo.,Ltd.",JHL 500,circular,"30,5",0.01,,,
,200,1,,,,,461.4,306.3,8.3,,,,,,,10.2,,0.31,0.06,,,,,,,N,20,,370,1300,0.189,0.03,50.19671686,,,H,,,,,,,"BaohangCo.,Ltd.",JHL 500,circular,"30,5",0.01,,,
,200,1.5,,,,,404.7,259.4,5.2,,,,,,,10.2,,0.31,0.06,,,,,,,N,20,,370,1300,0.189,0.03,50.19671686,,,V,,,,,,,"BaohangCo.,Ltd.",JHL 500,circular,"30,5",0.01,,,
,200,1.5,,,,,386.2,262.5,7.6,,,,,,,10.2,,0.31,0.06,,,,,,,N,20,,370,1300,0.189,0.03,50.19671686,,,H,,,,,,,"BaohangCo.,Ltd.",JHL 500,circular,"30,5",0.01,,,
,540,1,160,6,,,314.8,233.2,11.2,,,,,,,10.2,,0.31,0.06,,,,,,,N,20,,370,1300,0.189,0.03,50.19671686,,,V,,,,,,,"BaohangCo.,Ltd.",JHL 500,circular,"30,5",0.01,,,
,540,1,160,6,,,326.8,248.7,14.5,,,,,,,10.2,,0.31,0.06,,,,,,,N,20,,370,1300,0.189,0.03,50.19671686,,,H,,,,,,,"BaohangCo.,Ltd.",JHL 500,circular,"30,5",0.01,,,
"Yaru, 2023",175,2,,,,,450,320,3.2,,,,,,,10.2,,0.32,0.08,420,275,4.8,,,,,100,,370,1300,0.19,0.03,49.93252362,,,,,,,,,,,SLM 280 HL,rectangular,,,,,
,225,2,,,,,360,255,5,,,,,,,10.2,,0.32,0.08,,,,,,,,100,,370,1300,0.19,0.03,49.93252362,,,,,,,,,,,SLM 280 HL,rectangular,,,,,
,275,2,,,,,320,200,11.6,,,,,,,10.2,,0.32,0.08,,,,,,,,100,,370,1300,0.19,0.03,49.93252362,,,,,,,,,,,SLM 280 HL,rectangular,,,,,
,400,2,,,,,200,145,12.3,,,,,,,10.2,,0.32,0.08,,,,,,,,100,,370,1300,0.19,0.03,49.93252362,,,,,,,,,,,SLM 280 HL,rectangular,,,,,
"Nammalvar, 2022",300,2,,,,,316,200,10.6,,,,,,,9.8,,0.37,0.16,385,250,4.6,,,,,100,,400,1100,0.2,0.06,30.3030303,,,H,,90,,,,,,SLM 280 HL,rectangular,"8,1.6",,2,,N
,560,2,180,12,,,305,250,9.4,,,,,,,9.8,,0.37,0.16,385,250,4.6,,,,,100,,400,1100,0.2,0.06,30.3030303,,,H,,90,,,,,,,,,,,,
